Time (s)	Time (min)	T (K)	Radius (V)	theta
297.551134745	4.95918557908	295.664	5.58796e-08	-147.264
299.358647335	4.98931078891	295.664	8.19568e-08	-148.242
301.170001785	5.01950002975	295.664	1.04309e-07	-145.302
302.976171928	5.04960286547	295.664	1.22935e-07	-147.174
304.789395514	5.07982325857	295.664	1.37837e-07	-153.438
306.597094983	5.10995158304	295.664	1.56463e-07	-161.94
308.405875127	5.14009791879	295.663	1.67639e-07	-170.91
310.21450094	5.17024168233	295.663	1.52738e-07	180.0
312.020913255	5.20034855426	295.663	1.1921e-07	173.658
Time (s)	Time (min)	T (K)	Radius (V)	theta
1.59541587488	0.0265902645814	295.663	3.911575e-08	139.488
3.92615390538	0.065435898423	295.663	2.60771e-08	104.034
6.25580251061	0.104263375177	295.663	2.048925e-08	103.281
8.58471934963	0.143078655827	295.663	1.49013e-08	150.663
10.9150969214	0.181918282023	295.663	2.60771e-08	-169.422
13.2447885717	0.220746476195	295.662	2.98025e-08	-162.435
15.5742324504	0.25957054084	295.663	9.31327e-09	-112.5
17.9088805832	0.298481343053	295.663	4.656635e-08	-11.808
20.2390845748	0.337318076247	295.663	7.264365e-08	-7.599
22.5713442311	0.376189070518	295.663	8.00942e-08	-16.527
24.901301501	0.415021691683	295.663	1.043085e-07	-30.159
27.2309361078	0.45384893513	295.663	1.322485e-07	-37.983
29.565641634	0.492760693901	295.664	1.434245e-07	-46.407
31.8981382132	0.531635636886	295.664	1.434245e-07	-56.325
34.2276755312	0.570461258853	295.664	1.45287e-07	-63.72
36.557266743	0.609287779049	295.663	1.30386e-07	-67.272
38.8870542823	0.648117571371	295.663	9.31327e-08	-60.186
41.2155410206	0.686925683676	295.664	5.58797e-08	-48.444
43.5439185713	0.725731976189	295.665	2.04892e-08	-51.663
45.8704416844	0.764507361407	295.664	0.0	0.0
48.2002131256	0.803336885427	295.664	2.235185e-08	-30.357
50.5305277046	0.842175461743	295.664	5.029165e-08	-15.441
52.859336406	0.8809889401	295.663	6.891835e-08	2.598
55.1927883757	0.919879806262	295.664	7.45063e-08	21.591
57.5227750423	0.958712917371	295.664	7.636895e-08	31.995
59.8556782748	0.997594637914	295.664	7.82316e-08	27.096
62.1842979979	1.03640496663	295.664	6.70557e-08	3.882
64.5130815022	1.07521802504	295.663	3.35278e-08	-59.874
66.8422338642	1.11403723107	295.664	9.499555e-08	-142.974
69.1713498304	1.15285583051	295.664	1.788145e-07	-154.362
71.5005571362	1.19167595227	295.664	2.104795e-07	-153.639
73.8397526483	1.23066254414	295.663	1.862655e-07	-152.076
76.1683471742	1.2694724529	295.662	1.639135e-07	-151.38
78.4974365435	1.30829060906	295.663	1.546005e-07	-151.485
80.8278176149	1.34713029358	295.663	1.45287e-07	-143.787
83.156925882	1.3859487647	295.663	1.45287e-07	-134.076
85.5000535439	1.4250008924	295.664	1.35974e-07	-126.735
87.8292646992	1.46382107832	295.663	1.396995e-07	-118.071
90.1583498689	1.50263916448	295.664	1.322485e-07	-107.946
92.4871060764	1.54145176794	295.664	1.005835e-07	-95.469
94.8163508278	1.5802725138	295.663	5.029165e-08	-80.598
