Time (s)	Time since Epoch	Temperature (K)	H (Oe)
75.4948721936	1474051002.53	2.1167	100.067
75.6343243941	1474051002.67	2.1167	100.067
75.788919609	1474051002.82	2.118	100.067
75.9859168815	1474051003.02	2.118	100.067
76.1489138244	1474051003.18	2.118	100.067
76.3209484949	1474051003.35	2.1192	100.067
76.5119732787	1474051003.55	2.1192	100.067
76.6749562264	1474051003.71	2.1192	100.067
76.8199619955	1474051003.85	2.1188	100.067
76.9629639766	1474051004.0	2.1188	100.067
77.1164047509	1474051004.15	2.1188	100.067
77.3210044753	1474051004.35	2.1201	100.067
77.5039929589	1474051004.54	2.1201	100.067
77.6460087516	1474051004.68	2.1201	100.067
77.7849664584	1474051004.82	2.1201	100.067
77.9779857001	1474051005.01	2.1217	100.067
78.1170056074	1474051005.15	2.1217	100.067
78.2860055172	1474051005.32	2.1217	100.067
78.4330735427	1474051005.47	2.1217	100.067
78.5819938981	1474051005.62	2.1228	100.067
78.7640562168	1474051005.8	2.1228	100.067
78.9040327672	1474051005.94	2.1228	100.067
79.0620605148	1474051006.1	2.1238	100.067
79.2390506965	1474051006.27	2.1238	100.067
79.3860415935	1474051006.42	2.1238	100.067
79.5330900258	1474051006.57	2.1238	100.067
79.6920706846	1474051006.72	2.1245	100.067
79.842062443	1474051006.88	2.1245	100.067
79.981046585	1474051007.01	2.1245	100.067
80.1421156244	1474051007.17	2.1253	100.067
80.3091260524	1474051007.34	2.1253	100.067
80.4480713191	1474051007.48	2.1253	100.067
80.6341203766	1474051007.67	2.1253	100.067
80.7731166476	1474051007.81	2.126	100.067
80.9121045217	1474051007.94	2.126	100.067
81.0521180814	1474051008.09	2.126	100.067
81.2231052961	1474051008.26	2.1266	100.067
81.37609605	1474051008.41	2.1266	100.067
81.5611673161	1474051008.6	2.1266	100.067
81.7101249918	1474051008.74	2.1272	100.067
81.8801580514	1474051008.91	2.1272	100.067
82.0191916427	1474051009.05	2.1272	100.067
82.1671758811	1474051009.2	2.1272	100.067
82.3091574636	1474051009.34	2.1278	100.067
82.5041969764	1474051009.54	2.1278	100.067
82.6431590373	1474051009.68	2.1278	100.067
82.8082334757	1474051009.84	2.1287	100.067
82.9602619884	1474051009.99	2.1287	100.067
83.1001850464	1474051010.13	2.1287	100.067
83.2462059271	1474051010.28	2.1287	100.067
83.3872373974	1474051010.42	2.1292	100.067
83.5801959937	1474051010.61	2.1292	100.067
83.7192771684	1474051010.75	2.1292	100.067
83.903197726	1474051010.94	2.1312	100.067
84.0502240772	1474051011.08	2.1312	100.067
84.2160299931	1474051011.25	2.1312	100.067
84.3972821506	1474051011.43	2.1315	100.067
84.5632622278	1474051011.6	2.1315	100.067
84.7052562504	1474051011.74	2.1315	100.067
84.8552243726	1474051011.89	2.1315	100.067
85.0292861564	1474051012.06	2.1332	100.067
85.1722878264	1474051012.21	2.1332	100.067
85.3113064897	1474051012.35	2.1332	100.067
85.4622433842	1474051012.5	2.1335	100.067
85.6133025026	1474051012.65	2.1335	100.067
85.7703773391	1474051012.8	2.1335	100.067
85.9263151511	1474051012.96	2.1335	100.067
86.0923586728	1474051013.13	2.1349	100.067
86.2453282785	1474051013.28	2.1349	100.067
86.4132969046	1474051013.45	2.1349	100.067
86.5703123396	1474051013.6	2.1365	100.067
86.7343306141	1474051013.77	2.1365	100.067
86.9083516566	1474051013.94	2.1365	100.067
87.0505400555	1474051014.08	2.1364	100.067
87.1963553637	1474051014.23	2.1364	100.067
87.3483655273	1474051014.38	2.1364	100.067
87.4883386567	1474051014.52	2.1364	100.067
87.6293555099	1474051014.66	2.1376	100.067
87.7713986708	1474051014.81	2.1376	100.067
87.9114112975	1474051014.94	2.1376	100.067
88.0504001045	1474051015.08	2.1376	100.067
88.2314068812	1474051015.27	2.1387	100.067
88.4004139441	1474051015.43	2.1387	100.067
88.5444021136	1474051015.58	2.1387	100.067
88.7144323741	1474051015.75	2.14	100.067
88.9224204689	1474051015.96	2.14	100.067
89.0764303775	1474051016.11	2.14	100.067
89.2274453336	1474051016.26	2.1395	100.067
89.383448767	1474051016.42	2.1395	100.067
89.5224497031	1474051016.56	2.1395	100.067
89.7504741231	1474051016.78	2.1406	100.067
89.9794788223	1474051017.01	2.1406	100.067
90.1264700303	1474051017.16	2.1406	100.067
90.2784836148	1474051017.31	2.1418	100.067
90.4264566572	1474051017.46	2.1418	100.067
90.5655098417	1474051017.6	2.1418	100.067
90.7155236813	1474051017.75	2.1418	100.067
90.8555241789	1474051017.89	2.1426	100.067
91.0355065139	1474051018.07	2.1426	100.067
91.182511717	1474051018.22	2.1426	100.067
91.3255413773	1474051018.36	2.1431	100.067
91.4825014539	1474051018.52	2.1431	100.067
91.6220463331	1474051018.66	2.1431	100.067
91.7746032388	1474051018.81	2.1431	100.067
91.914547134	1474051018.95	2.1441	100.067
92.1105703472	1474051019.14	2.1441	100.067
92.2865650104	1474051019.32	2.1441	100.067
92.4445520167	1474051019.48	2.1447	100.067
92.587586653	1474051019.62	2.1447	100.067
92.7525895609	1474051019.79	2.1447	100.067
92.9786241879	1474051020.01	2.1452	100.067
93.1706392031	1474051020.2	2.1452	100.067
93.3296307469	1474051020.36	2.1452	100.067
93.4886017646	1474051020.52	2.1475	100.067
93.6386467045	1474051020.67	2.1475	100.067
93.7876046912	1474051020.82	2.1475	100.067
93.9306368395	1474051020.96	2.1475	100.067
94.1496869762	1474051021.18	2.1479	100.067
94.2926895792	1474051021.33	2.1479	100.067
94.4316547501	1474051021.47	2.1479	100.067
94.5996407923	1474051021.63	2.1495	100.067
94.7696539477	1474051021.8	2.1495	100.067
94.9136872125	1474051021.95	2.1495	100.067
95.0526635795	1474051022.09	2.1495	100.067
95.2226826439	1474051022.26	2.1495	100.067
95.3626822085	1474051022.4	2.1495	100.067
95.5286815678	1474051022.56	2.1495	100.067
95.7337148295	1474051022.77	2.1512	100.067
95.8866751052	1474051022.92	2.1512	100.067
96.0257286007	1474051023.06	2.1512	100.067
96.1857330791	1474051023.22	2.1513	100.067
96.37169941	1474051023.41	2.1513	100.067
96.5107385994	1474051023.55	2.1513	100.067
96.6627021126	1474051023.7	2.1528	100.067
96.8147999789	1474051023.85	2.1528	100.067
96.9627378779	1474051024.0	2.1528	100.067
97.1028322982	1474051024.14	2.1528	100.067
97.2998755991	1474051024.33	2.1544	100.067
97.4468826682	1474051024.48	2.1544	100.067
97.61589253	1474051024.65	2.1544	100.067
97.7758963865	1474051024.81	2.154	100.067
97.9638836105	1474051025.0	2.154	100.067
98.1048659424	1474051025.14	2.154	100.067
98.2588879801	1474051025.29	2.1553	100.067
98.4108701534	1474051025.44	2.1553	100.067
